name,lon,lat
LA HALLE AUX ENFANTS BÃZIERS,43.347515,3.25694
LA HALLE AUX CHAUSSURES METZ AUGNY,43.3233003,3.0498354
LA HALLE NARBONNE,43.17164666666667,3.01498
LA HALLE ST JEAN DE VEDAS,43.57406666666666,3.846886666666667
LA HALLE AUX CHAUSSURES MONTPELLIER PEROLS,43.57665,3.93447
LA HALLE AUX CHAUSSURES MARTIGUES,43.42225,5.05393
LA HALLE AUX CHAUSSURES ISTRES,43.52274,4.96319
LA HALLE AUX CHAUSSURES MARSEILLE VITROLLES,43.449516666666675,5.248450000000001
LA HALLE AUX CHAUSSURES MARSEILLE ST FEREOL,43.296008,5.3789075
LA HALLE AUX CHAUSSURES MARSEILLE SORMIOU,43.23221,5.40143
LA HALLE AUX CHAUSSURES MARSEILLE BARNEOUD,43.417477,5.358329
LA HALLE AUX CHAUSSURES MARSEILLE VALENTINE 2,43.298514,5.476996
LA HALLE CHAUSSURES ET MAROQUINERIE MARSEILLE BARNEOUD,43.41939,5.47761
LA HALLE AUX CHAUSSURES MARSEILLE GARDANNE,43.46614,5.46363
LA HALLE AUX CHAUSSURES AUBAGNE,43.29751,5.59228
LA HALLE AUX CHAUSSURES La Ciotat,43.18992,5.60161
LA HALLE MILLAU,44.10960705,3.0747142
LA HALLE SAINT-CLÃMENT-DE-RIVIÃRE,43.649474999999995,3.8463
LA HALLE SAINT-AUNÃS,43.648775,3.97907
LA HALLE ET LA HALLE AUX ENFANTS ALES,44.119706666666666,4.09488
LA HALLE ST AFFRIQUE,43.95819,2.887126
LA HALLE AUX CHAUSSURES LUNEL,43.68429,4.15301
LA HALLE MENDE,44.516015499999995,3.4806749999999997
LA HALLE ST CHELY D APCHER,44.80404,3.26975
LA HALLE AUX CHAUSSURES AVIGNON MISTRAL 7,43.91995,4.86881
LA HALLE LES ANGLES,43.959995,4.743575
LA HALLE AUX CHAUSSURES CAVAILLON,43.82226,5.02181
LA HALLE AUX CHAUSSURES ORANGE,44.11835,4.84008
LA HALLE AUX CHAUSSURES TARASCON,43.79598,4.69049
LA HALLE AUX CHAUSSURES BEAUCAIRE,43.81512,4.61241
LA HALLE AUX CHAUSSURES AVIGNON LE PONTET,44.17555,4.61994
LA HALLE AUX CHAUSSURES BAGNOLS SUR CEZE,44.17708,4.61903
LA HALLE AUX CHAUSSURES VAISON,44.24777,5.09254
LA HALLE APT,43.886355,5.36996
LA HALLE AUX ENFANTS SALON-DE-PROVENCE,43.633624999999995,5.094785
LA HALLE ARLES,43.664985,4.635365
LA HALLE NÃMES,43.8322396,4.3834362
LA HALLE NÃMES,43.820413333333335,4.365266666666667
LA HALLE PERTUIS,43.680054999999996,5.503885
LA HALLE CREST,44.72169,5.03644
LA HALLE LORIOL-SUR-DRÃME,44.758269999999996,4.8335799999999995
